traffic regulations 
acts of violence
acoustic spectrum
acquisition of a firm 
adaptation of a text
additional penalty
additional premium for payment by instalments
ad hoc legislation
adjournment of a hearing
hereinafter
panel board
panel of experts
harsh climate
increased consumption
spindle shape
spirit photography
spider-legged
spherical symmetry
spell verification
speed of the ship
speech-to-text reporter
speculative buying
spectral bandwidth
spectator magnet
mounting bar
mountain top
mould stain
graphics printer
grape juice
granite steps
Grand Slam tournaments
grammatical mistake
raiding squad
radix notation
radium content
Tesla coil
terror state
half-angle formula
half-drop window
handover of the money
handset manufacturer
happy-go-lucky attitude
head-in-the-sand attitude
head-of-state council
head of the delegation
healing waters
health assessment
hearing of the witness
heart block
heater current
heavenly power
heavy-duty machining
height-adjustable sliding shower head
helicopter traffic
heraldic bird
herd behaviour
herd of sheep
hereditary building rights
nagging questions
nail care salon
naive assessment of the situation
nameless author
narrative discourse
narrow circle
national airline
national anthem
natural crisis
natural language processing
Naval Air Force
navigation satellite
near-vision specs
nearby town
nearer the time
neat remark
necessary and sufficient condition
neck tie cloth
need for a decision
negative article
negligent investment advice
negotiating committee
neighboring apartment
neon tube
net assets
network access control
networking in the local community
neural network
new car fleet
newspaper columns
one minute's silence
one way street
"online data entry	"
only today
quad cable
quadrant divider
quadruple room
qualified electrician
vanity mirror
vapor density
van der Waals force
vanilla bean
unmanufactured material
unnecessary expense
unnecessary utilisation of hospital beds
uphill battle
upper-case character
cotton waste spinning
council board
counter-example
borrowing customer
botanical garden
bottle garden
bottom of the ocean
