traffic regulations ,Straßenverkehrsordnung
acts of violence,Gewaltakte
acoustic spectrum,Schallspektrum
acquisition of a firm ,Erwerb
adaptation of a text,Anpassung
additional penalty,Nebenstrafe
additional premium for payment by instalments,Zuschlag
ad hoc legislation,Gesetzgebung
adjournment of a hearing,Vertagung
hereinafter,nachfolgend
panel board,Schaltbrett
panel of experts,Sachverständigengremium
harsh climate,raues klima
increased consumption,Mehrverbrauch
spindle shape,Spindelform
spirit photography,Geisterfotografie
spider-legged,spinnbeinig
spherical symmetry,Kugelsymmetrie
spell verification,Rechtschreibprüfung
speed of the ship,Schiffsgeschwindigkeit 
speech-to-text reporter,Schriftdolmetscher
speculative buying,spekulatives Kaufen
spectral bandwidth,Spektralbreite
spectator magnet,Zuschauermagnet
mounting bar,Montageschiene
mountain top,Berggipfel
mould stain,Stockfleck 
graphics printer,Grafikdrucker
grape juice,Traubensaft
granite steps,Granitstufen
Grand Slam tournaments,Grand-Slam-Turniere
grammatical mistake,Grammatikfehler 
raiding squad,Rollkommando
radix notation,Radixschreibweise 
radium content,Radiumgehalt
Tesla coil,Teslaspule
terror state,Terrorstaat
half-angle formula,Halbwinkelformel
half-drop window,Halbfallfenster
handover of the money,Geldübergabe
handset manufacturer,Handyhersteller
happy-go-lucky attitude,Leichtlebigkeit
head-in-the-sand attitude,Vogel-Strauß-Haltung
head-of-state council,Staatsrat
head of the delegation,Delegationsleite
healing waters,Heilwasser
health assessment,Gesundheitsbewertung
hearing of the witness,Zeugenvernehmung
heart block,Herzblock
heater current,Heizstrom
heavenly power,Himmelsmacht
heavy-duty machining,Schwerzerspanung
height-adjustable sliding shower head,Brauseaufsteckschieber
helicopter traffic,Hubschrauberverkehr
heraldic bird,Wappenvogel
herd behaviour,Herdenverhalten
herd of sheep,Schafherde
hereditary building rights,Erbbaurecht
nagging questions,bohrende Fragen
nail care salon,Nagelstudio
naive assessment of the situation,Milchmädchenrechnung
nameless author,unbekannter Autor
narrative discourse,Erzähldiskurs
narrow circle,enger Kreis
national airline,nationale Fluggesellschaft
national anthem,Nationalhymne
natural crisis,Naturkrise
natural language processing,natürliche Sprachverarbeitung
Naval Air Force,Marineluftwaffe
navigation satellite,Navigationssatellit
near-vision specs,Nahbrille
nearby town,Nachbarort
nearer the time,zeitnah
neat remark,kurze Anmerkung
necessary and sufficient condition,notwendige und hinreichende Bedingung
neck tie cloth,Krawattenstoff
need for a decision,Entscheidungsbedarf
negative article,Negativartikel
negligent investment advice,fehlerhafte Anlageberatung
negotiating committee,Verhandlungsdelegation
neighboring apartment,Nachbarwohnung
neon tube,Neonröhre
net assets,Eigenkapital
network access control,Netzwerkzugangskontrolle
networking in the local community,Sozialraumorientierung
neural network,neuronales Netzwerk
new car fleet,Neuwagenflotte
newspaper columns,Zeitungskolumnen
one minute's silence,Schweigeminute
one way street,Einbahnstraße
"online data entry	",Direktdatenerfassung
only today,erst heute
quad cable,Viererkabel
quadrant divider,Quadrantenteiler
quadruple room,Vierbettzimmer
qualified electrician,Elektrofachkraft
vanity mirror,Frisierspiegel
vapor density,Dampfdichte
van der Waals force,Van-der-Waals-Kraft
vanilla bean,Vanilleschote
unmanufactured material,Rohmaterial
unnecessary expense,unnötige Kosten
unnecessary utilisation of hospital beds,Krankenhaus-Fehlbelegung
uphill battle,harter Kampf
upper-case character,Großbuchstabe
cotton waste spinning,Baumwollabfallspinnerei
council board,Ratsausschuss
counter-example,Gegenbeispiel
borrowing customer,Kreditkunde
botanical garden,botanischer Garten
bottle garden,Flaschengarten
bottom of the ocean,Meeresboden
